pinyin	phoneme	syll	syll_n	letter_n	sound_n	
gou3qie3	g#3qie3	['gou', 'qie']	2	6	5	
shan1ling3	$an1ljəŋ3	['shan', 'ling']	2	8	7	
shan1dong4	$an1doŋ4	['shan', 'dong']	2	8	6	
piao1liu2	pi#1liu2	['piao', 'liu']	2	7	6	
chuang4shi3	$uaŋ4$i3	['chuang', 'shi']	2	9	6	
pi2juan4	pi2juan4	['pi', 'juan']	2	6	6	
guang3jiao4	guaŋ3ji#4	['guang', 'jiao']	2	9	7	
si1zi3	si1zi3	['si', 'zi']	2	4	4	
xia4chui1	xia4$ui1	['xia', 'chui']	2	7	6	
fa1suan1	fa1suan1	['fa', 'suan']	2	6	6	
wai1	w#1	['wai']	1	3	2	
cha4	$a4	['cha']	1	3	2	
hao2ku1	h#2ku1	['hao', 'ku']	2	5	4	
dang	daŋ	['dang']	1	4	3	
xi1an1shan1	xi1an1$an1	['xi', 'an', 'shan']	3	8	7	
gong4ju4	goŋ4ju4	['gong', 'ju']	2	6	5	
guai4yi4	gu#4yi4	['guai', 'yi']	2	6	5	
wan2bei4	wan2b#4	['wan', 'bei']	2	6	5	
deng2jian4	deŋ2jian4	['deng', 'jian']	2	8	7	
diao1xie4	di#1xie4	['diao', 'xie']	2	7	6	
mei3rong2	m#3roŋ2	['mei', 'rong']	2	7	5	
zhuan4dong4	$uan4doŋ4	['zhuan', 'dong']	2	9	7	
zhuan3dong4	$uan3doŋ4	['zhuan', 'dong']	2	9	7	
hang2dao4	haŋ2d#4	['hang', 'dao']	2	7	5	
dan1dan1	dan1dan1	['dan', 'dan']	2	6	6	
lei1	l#1	['lei']	1	3	2	
hua2mei3	hua2m#3	['hua', 'mei']	2	6	5	
ang1zang1	aŋ1zaŋ1	['ang', 'zang']	2	7	5	
bei4cheng1	b#4$eŋ1	['bei', 'cheng']	2	8	5	
nuan3	nuan3	['nuan']	1	4	4	
jiao2huan2	ji#2huan2	['jiao', 'huan']	2	8	7	
zui3li3	zui3li3	['zui', 'li']	2	5	5	
diao4dong4	di#4doŋ4	['diao', 'dong']	2	8	6	
zhang3duo4	$aŋ3duo4	['zhang', 'duo']	2	8	6	
da4hua4	da4hua4	['da', 'hua']	2	5	5	
shu4lin2	$u4lin2	['shu', 'lin']	2	6	5	
lun2zi	lwən2zi	['lun', 'zi']	2	5	6	
rou2shun4	r#2$wən4	['rou', 'shun']	2	7	6	
pian1jian4	pian1jian4	['pian', 'jian']	2	8	8	
dou4ou1	d#4#1	['dou', 'ou']	2	5	3	
lia4nai4	lia4n#4	['lia', 'nai']	2	6	5	
bei1ai1	b#1#1	['bei', 'ai']	2	5	3	
chou2men4	$#2men4	['chou', 'men']	2	7	5	
pi1ping2	pi1pjəŋ2	['pi', 'ping']	2	6	6	
